handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_4ffee774-b281-ae3c-dc2f-0632422aff94,Product,Amethyst Geode Necklace,"<p>Amethyst Geode Necklace with Gold Chain. Chain is 11""</p>",23c3bc_45572f1481414121969ba8d8fe603b9c~mv2.jpg;23c3bc_7167ef87c58f4c98b6fdd8a100b5ca36~mv2.jpg,Jewelry & Accessories,,,20.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5fcfc291-050a-358d-de0e-3bca2a1d7ea8,Product,Delicate Rose Necklace,"<p>Necklace with Delicate Gold Rose Charm. 9"" Chain</p>",23c3bc_efb0849c03bc4a3aa2a7499984fc507c~mv2.jpg,Jewelry & Accessories,,,15.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b82e22d0-4cc4-1523-5ac5-def9cc0aebe1,Product,Ralph Lauren Skirt,<p>Lauren Ralph Lauren Silk A-Line Skirt. Vintage 1990's. Layered Ivory Silk with Black Trim. Size 8.</p>,23c3bc_5aa5fc3704974c908468360f9dbacbed~mv2.jpg;23c3bc_64db0877e84a48c08a0375305e5efa8d~mv2.jpg;23c3bc_3fb33c3fd9114fe79e1719d5e2380596~mv2.jpg,Designer & Vintage Clothes,,,40.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>Size 8</li>
	<li>Ivory with Black Trim</li>
	<li>Side Zipper</li>
	<li>Layered&nbsp;</li>
	<li>100% Silk</li>
	<li>Pre Owned, Like New</li>
</ul>
",REFUNDS & RETURNS,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>&nbsp;</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can occur. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,Ralph Lauren
product_5fb5fd1f-1f2f-d581-5291-b232a04504f0,Product,Ann Taylor Dress,<p>Ann Taylor Sleeveless Dress. Black and white design with a sintched waist. Size 2.</p>,23c3bc_27fac5ca0deb482e87d1732e81b95766~mv2.jpg;23c3bc_ce0a1c7b6e3a40a4b7eaafb1fd0b5e85~mv2.jpg;23c3bc_4f85d336b97e4db8aa3e4cdce9935fdf~mv2.png,Designer & Vintage Clothes,,,30.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>Size 2</li>
	<li>Black &amp; White</li>
	<li>Knee Length</li>
	<li>Sintched Waist</li>
	<li>Half Zipper in Back</li>
	<li>Original Cost: $160</li>
	<li>94% Rayon, 6% Spandex</li>
	<li>Pre Owned, Like New</li>
</ul>
",REFUNDS & RETURNS,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>&nbsp;</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can occur. If a customer is unhappy with an item they purchasUed, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,Ann Taylor
product_7db857fb-deb4-3511-0041-baa9fd9a25ef,Product,Anne Fontaine Blouse,<p>Anne Fountaine Sleeveless Blouse with Layered Ruffles. Ruffles frame the neckline &amp; shoulders. Hook &amp; eye latch closures on the front of the blouse. Corset like back with ribbon laced down the middle. Size 3</p>,23c3bc_8c8734d5034c44ee9e926c81ebec4a51~mv2.jpg;23c3bc_07ed8e8191494bdba5318461817fe51e~mv2.jpg;23c3bc_539d9e8611284b9d87ec13d6b85dbedf~mv2.png,Designer & Vintage Clothes,,Designer,180.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>Size 3</li>
	<li>Designer</li>
	<li>White</li>
	<li>Sleeveless</li>
	<li>Layered Ruffles on Neckline &amp; Shoulders</li>
	<li>Hook &amp; Eye Latches in Front</li>
	<li>Corset Back</li>
	<li>Pre Owned, Like New</li>
</ul>
",REFUNDS & RETURNS,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>&nbsp;</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can occur. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,Anne Fontaine
product_d709e9c8-1317-926c-8cad-20de9f54f20b,Product,1903 Mugshot Card,<p>1903 Mugshot Card from Rochester NY. William Painter sentence on may 26th for 30 days.&nbsp;Crime:&nbsp;Petty Larceny. Criminal Act: Stealing Old Iron</p><p>This is such a cool item that you very rarely come across I almost dont want to sell it!</p>,23c3bc_8c16345859bf405f805bede010c0d137~mv2.png;23c3bc_fe38bddc30cb44ca9a00a0d8d8fe9f18~mv2.png,Antiques & Collectibles,,,60.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fd3ffc7d-0bd1-ffca-7173-0af5a2c5b48d,Product,BCBG Studded Heels,<p>BCBG Studded Pointed Toe&nbsp;Heels.&nbsp;&nbsp;Size 7</p>,23c3bc_140e1378d9084f3aba66d5de64e4ff48~mv2.jpg;23c3bc_196f8c1d5a0d405298e8bc69a4c92048~mv2.jpg,Shoes,,,25.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>Size 7</li>
	<li>3"" Heel</li>
	<li>Black &amp; Beige</li>
	<li>Studs on Trim</li>
	<li>Buckle Closure on Ankle Strap</li>
	<li>Pre Owned, Like New</li>
</ul>
",REFUNDS & RETURNS,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>&nbsp;</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can occur. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,BCBG
product_59ee9443-ed8b-449c-c8b2-7b4ffc7a928f,Product,LuluLemon Skirt,"<p>LuluLemon Pencil Skirt. Army green soft, thick, stretchy fabric. Full zipper down back. The waist measures 28"". Would fit a size 2 or 4.</p>",23c3bc_4d2058cffb964bfea10ee8f9049f5435~mv2.jpg;23c3bc_5f4f2042b5c2459bb2787e629024d958~mv2.jpg,Designer & Vintage Clothes,,,40.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>Size 2/4</li>
	<li>Waist Measures 28""</li>
	<li>21"" Length</li>
	<li>Full Zipper Down Back</li>
	<li>Pre Owned, Great Condition</li>
</ul>
",REFUNDS & RETURNS,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>&nbsp;</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can occur. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,LuLuLemon
product_56df490a-3c07-a84a-e9c2-a47a7d04c9c7,Product,St John Skirt,"<p>St John by Marie Gray Pencil Skirt. Knit ribbed comfortable fabric. Gold studs down the sides, on pocket trim and belt loops. Size 8.</p>",23c3bc_a7269bf49db747d6b8256cb929155d77~mv2.jpg;23c3bc_742c88a472c34447a0742681d9c0ba12~mv2.png;23c3bc_7faf0cf8ced04f81a4354b0010fb8461~mv2.jpg;23c3bc_025a62d0dfb94938b98e5e48d2d02cbe~mv2.jpg,Designer & Vintage Clothes,,Designer,75.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>Size 8</li>
	<li>27"" Length</li>
	<li>Black w/ Gold Studs</li>
	<li>Knit Ribbed Fabric</li>
	<li>Small Slit In Back</li>
	<li>Pre Owned, Like New</li>
</ul>
",REFUNDS & RETURNS,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>&nbsp;</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can occur. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,St John
product_cf8cab8e-edfa-90e4-9129-1d958d315d17,Product,Signed Robert Frost In The Clearing,<p>Signed Robert Frost In&nbsp;The Clearing. Published in 1962. Book is in great condition and is currently kept covered and sealed. Pages are not creased.</p>,23c3bc_8c7125f4fe2b4421a2159c4d2d9aedf3~mv2.jpeg;23c3bc_216fa7f0a37141b99479db2ca923a97a~mv2.jpg;23c3bc_ad36134e63444841bcf3f016f0ab122b~mv2.png,Antiques & Collectibles,,,550.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>Signed by Robert Frost</li>
	<li>Published 1962</li>
	<li>Hardcover w/ Sleeve</li>
	<li>No Creased Pages</li>
</ul>
",REFUNDS & RETURN,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>&nbsp;</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can occur. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,
product_48ead869-f569-a5d0-31af-562c235e4937,Product,Morgane Le Fay Skirt,"<p>Morgane Le Fay Asymmetrical Skirt. Black wool fabric. Side slit from bottom to belt seam. 32"" Length at the longest point, 27"" at the shortest. Size Medium</p>",23c3bc_e0d3bd1fc78d4d269f327e434533ca32~mv2.jpg;23c3bc_02650d0536c3433a98d033f18f3503dd~mv2.jpg;23c3bc_33d342bfd3724294966429826c6dbf79~mv2.jpg,Designer & Vintage Clothes,,Designer,35.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>Size Medium</li>
	<li>Asymmetrical</li>
	<li>Black</li>
	<li>Wool</li>
	<li>Size Zipper</li>
	<li>17"" Side Slit</li>
	<li>32"" Length at longest point</li>
	<li>Pre Owned, Like New</li>
</ul>
",REFUNDS & RETURN POLICY,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can ocurre. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,Morgane Le Fay
product_cc8e6926-b9c9-1b14-93cc-f13d385bf836,Product,Couture Etsuko Jacket,"<p>Couture Etsuko Jacket. This piece is one of our coolest finds and the definition of Couture. It was designed by a Tornoto Designer specifically for the last owner. This jacket is One of One.&nbsp;</p><p>The jacket is made from a soft velvet ribbed fabric. Browns, creams and dark green paisley pattern. The arms flare out at the end and contain a slit from the wrist to about mid arm below the elbow. 2 horizontal cloth buttons. Will fit a size Small/ Medium.</p>",23c3bc_b2ee55f6c65d4889acd2fa05cdb6f13f~mv2.png;23c3bc_8adaf2dd26364ebc88bd29f6eec5d826~mv2.png;23c3bc_a693e54bb9274691b6f94b186937cbf9~mv2.png;23c3bc_64555bb9cad04c1686f1c49e2c50351a~mv2.png,Designer & Vintage Clothes,,Designer,120.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>Size Small/Medium</li>
	<li>Created by Toronto Designer</li>
	<li>One of One</li>
	<li>Brown,cream, dark green paisley patter</li>
	<li>Velvet Ribbed Fabric</li>
	<li>Silk Inside Lining</li>
	<li>2 Cloth Buttons</li>
	<li>Flare Sleeves w/ Slit</li>
	<li>Pre Owned, Like New</li>
</ul>
",REFUNDS & RETURN POLICY,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can ocurre. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,Couture Etsuko
product_381f16d0-6abc-61e4-15c5-74b597b3a61b,Product,Alberto Makali Pant Suit,"<p>Alberto&nbsp;Makali Blazer &amp; Pant Set. Black &amp; White honeycomb pattern&nbsp;on cuffs, collar &amp; belt. Ribbon accents around trim.</p>",23c3bc_33f8b47772bc4ff6b4ab8d30e26fcd4f~mv2.jpg;23c3bc_b5e34d3ced3646bfb52557f08bd36c88~mv2.jpg;23c3bc_97d25f71757f445eb1208db56fd450c3~mv2.jpg;23c3bc_91cedcd1cc2941adafe4c6c53296d316~mv2.jpg,Designer & Vintage Clothes,,,50.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>Size 10</li>
	<li>Black &amp; White</li>
	<li>White honeycomb design on cuffs, collar &amp; belt</li>
	<li>Ribbon design on trim</li>
	<li>Pre Owned, Like New</li>
</ul>
",REFUNDS & RETURN POLICY,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can ocurre. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,Alberto Makali
product_9d0d03d5-baaf-1319-7fd9-8d47914d6bc9,Product,Song & Sung Jacket,"<p>Black knit Song &amp; Sung Jacket/Blazer. White trim on edges. Small sequins cover the jacket for a light sparkle. Wired collar, cuffs and bottom trim. Black &amp; White buttons. Shoulders are lightly padded.</p>",23c3bc_d0b9d69cf71b42ec89fa2705ea4c8d40~mv2.jpg;23c3bc_b62ceaba894f439c9dff54cdc8fa40f6~mv2.jpeg;23c3bc_a857e3ec168141f7bef79f7319f019c0~mv2.jpeg;23c3bc_6549475c251d429389a54ab761cc1c98~mv2.jpeg,Designer & Vintage Clothes,,,30.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>Size Small/Medium</li>
	<li>Wired Collar, cuffs &amp; bottom trim</li>
	<li>White &amp; Black swirled buttoms</li>
	<li>Light Sequin Design</li>
	<li>Padded Shoulders</li>
	<li>Pre Owned, Like New</li>
</ul>
",REFUNDS & RETURN POLICY,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can ocurre. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,Song & Sung
product_e553f007-17b4-1f80-e678-91afe62000e6,Product,I Love Dragons Bumper Sticker,<p>Vintage I Love Dragons Bumper Sticker</p>,23c3bc_d41429fa8acc4fec904074c8c2797ae2~mv2.png,Antiques & Collectibles,,Vintage,12.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>1983</li>
	<li>Unused</li>
	<li>3"" x 10""</li>
</ul>
",REFUNDS & RETURN POLICY,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can ocurre. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,
product_d7cd903f-d336-34c8-691d-8c1db736769b,Product,Sailors Have More Fun Bumper Sticker,<p>Vintage Sailors Have More Fun Bumper Sticker.</p>,23c3bc_44a39852357841ec9cca37479a7c4f0d~mv2.png,Antiques & Collectibles,,Vintage,10.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>1968</li>
	<li>Unused</li>
	<li>3"" x 10.5 ""</li>
</ul>
",REFUNDS & RETURN POLICY,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can ocurre. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,
product_9a5ae4ae-782d-6e11-f4c8-bf1af026315c,Product,Fly Navy Bumper Sticker,<p>Vintage Fly Navy Bumper Sticker. 1980s. 3 x 10. Unused</p>,23c3bc_ecdb70d3c87940a4bd8cdf71d99529c7~mv2.png,Antiques & Collectibles,,Vintage,10.0,,true,PERCENT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,REFUNDS & RETURN POLICY,"<p>Unfortunately we do not allow returns or refunds. All sales are final.</p>

<p>All items are sold As-Is. We strive to provide our customers with top-quality second-hand products and thoroughly examine each item before it is posted For Sale on our site. We understand that human error can ocurre. If a customer is unhappy with an item they purchased, they may be eligible for store credit or exchange of equal or lesser value AT THE DISCRETION OF THE OWNER of Sweet Thrift Consignments.</p>
",,,,,,,,,,,,,,,,,
